,title,synopsis,label
5138,Eddie Izzard: Dress to Kill,"executive transvestite eddie izzard takes his show to san francisco to give a brief history of pagan and christian religions, the building of stonehenge, the birth of the church of england and of western empires, and the need for a european dream.",3
5139,Eddie Izzard: Glorious,"eddie izzard's routine has a loose trajectory from the beginning of the old testament and the creation of the world in seven days to revelations. along the way, we learn of the search for a career, bad giraffes, prince philip's gaffes, toilets in french campsites, the mysteries of hopscotch, becoming one's dad and tranny bashing.",3
5140,Eddie Izzard: Unrepeatable,"recorded one night at the albert theatre in march 1994, when eddie izzard was playing a limited seven week sold-out run of his celebrated stand-up show.",0
5141,Eddie Izzard: Sexie,"filmed in eastbourne where his grandfather and father were born and where he went to school, this show is the funniest live show that could ever be performed by a warm blooded animal.",6
5142,Airheads,the lone rangers have heavy-metal dreams and a single demo tape they can't get anyone to play. the solution: hijack an am rock station and hold the deejays hostage until they agree to broadcast the band's tape.,0
5143,My Best Friend's Girl,"when dustin's girlfriend, alexis, breaks up with him, he employs his best buddy, tank, to take her out on the worst rebound date imaginable in the hopes that it will send her running back into his arms. but when tank begins to really fall for alexis, he finds himself in an impossible position.",3
5144,Labyrinth,"when teen sarah is forced to babysit toby, her baby stepbrother, she summons jareth the goblin king to take him away. when he is actually kidnapped, sarah is given just thirteen hours to solve a labyrinth and rescue him.",3
5145,City of Ember,"for generations, the people of the city of ember have flourished in an amazing world of glittering lights. but ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker. now, two teenagers, in a race against time, must search ember for clues that will unlock the ancient mystery of the city's existence, before the the lights go out forever.",3
5146,1 Love,from the academy award-winning director of when we were kings comes this enthralling tribute to the timeless power and magic of basketball.,0
5147,Christmas Cottage,"inspired by the picturesque paintings of thomas kinkade, the christmas cottage tells the semi-autobiographical tale of how a young boy is propelled to launch a career as an artist after he learns that his mother is in danger of losing the family home.",11
5148,Heckler,"heckler is a comedic feature documentary exploring the increasingly critical world we live in. after starring in a film that was critically bashed, jamie kennedy takes on hecklers and critics and ask some interesting questions of people such as george lucas, bill maher, mike ditka, rob zombie, howie mandel and many more. this fast moving, hilarious documentary pulls no punches as you see an uncensored look at just how nasty and mean the fight is between those in the spotlight and those in the dark.",0
5149,Cheech & Chong's Next Movie,"perennially stoned cheech and chong tear through the city of los angeles, causing trouble wherever they go. after cheech loses his job, the two pot enthusiasts head to the welfare offices where cheech's girlfriend, donna, works. instead of collecting unemployment, they find themselves thrown back on the streets, searching for a way to earn new income. but when cheech's cousin, ""red"" mendoza, arrives, things get even crazier.",3
5150,Day of the Dead,"when a small colorado town is overrun by the flesh hungry dead, a small group of survivors try to escape in a last ditch effort to stay alive.",7
5151,Who's Your Daddy?,"an adopted ohio high school senior discovers he is the inherited heir to a porn empire. dropped into a bitter power struggle, his new flock of beautiful co-workers come to his aid.",6
5152,UFC 91: Couture vs. Lesnar,"it's the biggest fight in mixed martial arts history! 3-time ufc® heavyweight champ randy ""the natural"" couture returns to the octagon™ and puts his title on the line against the biggest opponent of his career, wrestling powerhouse brock lesnar. can the legend prevail? or will a new hero rise?",3
5153,UFC 90: Silva vs. Cote,"the best pound-for-pound fighter in the world comes to chicago! after nearly 4 million people witnessed his stunning 1-minute victory over larger opponent james irvin on spike, anderson ""the spider"" silva returns to the octagon to defend the ufc middleweight title against french-canadian contender patrick ""the predator"" cote.",3
5154,UFC 55: Fury,"before a sold-out crowd at the mohegan sun casino in connecticut, ufc heavyweight champion andrei arlovoski defends his title against hard-hitting mexican striker paul buentello. the undercard is highlighted by the ultimate fighter season 1 winner forrest griffin as he takes on australia's elvis sinosic.",3
5155,UFC 54: Boiling Point,"ufc light heavyweight champion chuck liddell makes his first title defense against the man who handed him his first ever defeat – jeremy horn. the undercard features the return of randy ""the natural"" couture, the ufc debut of the ultimate fighter winner diego sanchez, and a highly anticipated welterweight match-up between georges st. pierre and frank trigg.",3
5156,UFC 53: Heavy Hitters,"andrei arlovski puts his interim heavyweight championship on the line against justin eilers. the undercard features a rematch for the ufc middleweight championship as champion evan tanner defends this title against rich franklin. other featured fighters include top ranked forrest griffin, paul buentello, nate quarry, david loiseau, nick diaz and more.",3
5157,MacGyver: Trail to Doomsday,a close friend of macgyver is murdered. in searching for a reason for this assassination macgyver discovers a secret nuclear weapons plant right in the center of britain.,3
5158,Bad Boys,mick o'brien is a young chicago street thug torn between a life of petty crime and the love of his girlfriend. but when the heist of a local drug dealer goes tragically wrong mick is sentenced to a brutal juvenile prison where violence is a rite of passage and respect is measured in vengeance.,5
5159,One Way Passage,"a terminally ill woman and a debonair murderer facing execution meet and fall in love on a trans-pacific crossing, each without knowing the other's secret.",8
5160,Bigger Stronger Faster*,"in america, we define ourselves in the superlative: we are the biggest, strongest, fastest country in the world. is it any wonder that so many of our heroes are on performance enhancing drugs? director christopher bell explores america's win-at-all-cost culture by examining how his two brothers became members of the steroid-subculture in an effort to realize their american dream.",0
5161,Superman: Doomsday,"when lexcorp accidentally unleashes a murderous creature, superman meets his greatest challenge as a champion. based on the ""the death of superman"" storyline that appeared in dc comics' publications in the 1990s.",3
5162,The Air I Breathe,"a drama based on an ancient chinese proverb that breaks life down into four emotional cornerstones: happiness, pleasure, sorrow and love. a businessman bets his life on a horse race; a gangster sees the future; a pop star falls prey to a crime boss; a doctor must save the love of his life.",5
5163,The Very First Noel,"melchior, one of the three wise men, narrates the story of his travels in search of a magnificent star pointing him to a newborn king.",3
5164,George Carlin: It's Bad for Ya!,"it's bad for ya, carlin's emmy nominated 14th and final hbo special from march of 2008 features carlin's noted irreverent and unapologetic observations on topics ranging from death, religion, bureaucracy, patriotism, overprotected children and big business to the pungent examinations of modern language and the decrepit state of the american culture.",0
5165,All I Want for Christmas,two new york city children who launch a hilarious scheme to get what they most want this holiday season.,4
5166,African Bambi,a giraffe mother tells the story of three young gazelle fawns who have to experience great adventures on the plains of africa.,9
5167,The Invincible Iron Man,"when a cocky industrialist's efforts to raise an ancient chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",3
5168,Resident Evil: Degeneration,"a zombie attack brings chaos to harvardville airport. leon kennedy and claire redfield , who fought the sinister umbrella corporation during the raccoon city tragedy 7 years ago, are back. in high-octane resident evil style, they're ready to battle a rogue warrior who is seeking revenge after his family was killed in raccoon city. the deadly g-virus is unleashed and a new mutated monster rampages.",4
5169,High School Musical 2,"the east high wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. troy, gabriella, chad, and taylor have scored sweet gigs at the lava springs country club owned by sharpay and ryan's family. sharpay's first rule of business: get troy. as troy experiences a life of privilege he's never known, will he give up the wildcats and gabriella to rise to the top?",5
5170,Delirious,"les, a small-time celebrity photographer desperate to make it big, befriends toby, a homeless young man with no direction except a vague desire to become an actor. when by chance, toby becomes romantically involved with k'harma leeds, the hottest pop star of the moment, les grows jealous and plots revenge.",9
5171,101 Dalmatians II: Patch's London Adventure,"being one of 101 takes its toll on patch, who doesn't feel unique. when he's accidentally left behind on moving day, he meets his idol, thunderbolt, who enlists him on a publicity campaign.",3
5172,Camp Rock,"when mitchie gets a chance to attend camp rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",5
5173,Lebbis: W2P,"lebbis kijkt naar de evolutie zoals nog nooit iemand naar de evolutie keek. met weldoortimmerde opvattingen over vrouwen, godsdienst, fruit, varkens en, ja, zelfs de actualiteit moet eraan geloven. waar gaan we heen als mensheid. en we zijn nog niet verloren, mits we naar lebbis luisteren. het is een programma vol eye-openers, humor, nog meer eye-openers en zelfs iets wat op een lied lijkt.",3
5174,Annabelle's Wish,"annabelle - a calf who has a special wish for christmas - wants to be a reindeer and help santa claus drive his sleigh as he delivers his presents! annabelle's friends tell her not to get her hopes up, but to everyone's surprise, santa does indeed meet up with annabelle, and the calf gets to help santa make the holiday special for one young boy.",11
5175,Arthur,arthur is a thirty-year-old child who will inherit 750 million dollars if he complies with his family's demands and marries the woman of their choosing.,1
5176,The Wolf Man,"after his brother's death, larry talbot returns home to his father and the family estate. events soon take a turn for the worse when larry is bitten by a werewolf.",11
5177,Better Off Dead...,"lane meyer is obsessed with his girlfriend beth and is crushed when she falls for the new captain of the ski team, roy. after several failed suicide attempts, narrow escapes from the relentless paper boy, and nearly unbearable dinners at home with his crazy family, lane finds a new love in french exchange student monique junot. meanwhile, he must beat roy on the slopes to regain his honor.",4
5178,Catch and Release,"gray wheeler just lost everything. but it could be the best thing that ever happened to her. after the death of her fiancé, gray moves in with her late love's best friends. while sam and dennis do their best to cheer gray up, fritz doesn't seem to care. once gray breaks through fritz's defenses, however, she finally sees why her fiancé thought so highly of him. as they spend more time together, gray learns that her chances for love have not died out with her fiancé. but when some surprise guests show up on their doorstep, it'll take the love of all of her new friends to help gray learn that life may be messy, but love is messier.",8
5179,Christmas in Connecticut,"journalist elizabeth lane is one of the country's most famous food writers. in her columns, she describes herself as a hard working farm woman, taking care of her children, and being an excellent cook. but this is all lies. in reality, she is an unmarried new yorker who can't even boil an egg. the recipes come from her good friend felix. the owner of the magazine she works for has decided that a heroic sailor will spend his christmas on *her* farm. miss lane knows that her career is over if the truth comes out, but what can she do?",11
5180,A Crude Awakening,"basil gelpke and ray mccormack's nonfiction treatise crude awakening joins maxed out, an inconvenient truth, and other recent documentaries devoted to unearthing and exploring forces that are untying the connective threads of contemporary society. the subject at hand is crude oil - specifically, the depletion of petroleum from the earth, in an era when consumption threatens to exceed supply.",3
5181,The Music Man,"a con man comes to an iowa town with a scam using a boy's marching band program, but things don't go according to plan.",7
5182,Christmas with the Kranks,"luther krank is fed up with the commerciality of christmas; he decides to skip the holiday and go on a vacation with his wife instead. but when his daughter decides at the last minute to come home, he must put together a holiday celebration.",11
5183,Frosty the Snowman,"a discarded silk top-hat becomes the focus of a struggle between a washed-up stage magician and a group of schoolchildren, after it magically brings a snowman to life. realizing that newly-living frosty will melt in spring unless he takes refuge in a colder climate, frosty and karen, a young girl who he befriends, stow away on a freight train headed for the north pole. little do they know that the magician is following them, and he wants his hat back!",9
5184,The Little Mermaid: Ariel's Beginning,"follow ariel's adventures before she gave up her fins for true love. when ariel wasn't singing with her sisters, she spent time with her mother, queen athena. ariel is devastated when athena is kidnapped by pirates, and after king triton outlaws all singing. along with pals flounder and sebastian, ariel sets off in hopes of changing her father's decision to ban music from the kingdom.",3
5185,The Game Plan,"bachelor football star joe kingman seems to have it all. he is wealthy and carefree, and his team is on the way to capturing a championship. suddenly, he is tackled by some unexpected news: he has a young daughter, the result of a last fling with his ex-wife. joe must learn to balance his personal and professional lives with the needs of his child.",8
5186,Places in the Heart,"in 1930s texas, a widow and her family fight to save their home by harvesting cotton.",11
5187,Pooh's Heffalump Movie,"who or what exactly is a heffalump? the lovable residents of the hundred acre wood -- winnie the pooh, rabbit, tigger, eeyore, kanga and the rest of the pack -- embark on a journey of discovery in search of the elusive heffalump. but as is always the case, this unusual road trip opens their eyes to so much more than just the creature they're seeking.",3
5188,Tarzan & Jane,"sprightly amusement for kids of all ages, disney's direct-to-video sequel to its animated hit sandwiches jungle derring-do and lots of silly sight gags between song and dance number. with the first anniversary of her wedding to tarzan (voice of michael t. weiss) beckoning, jane (olivia d'abo) ponders how to make it the perfect english celebration",3
5189,Bottle Rocket,"upon his release from a mental hospital following a nervous breakdown, the directionless anthony joins his friend dignan, who seems far less sane than the former. dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary mr. henry.",3
5190,The Kovak Box,"david norton is used to being in control. as a best-selling author, he decides the fate of his characters, their lives and their deaths. but what happens when his fictional world becomes all too real?",3
5191,I Want Candy,"two hopeful lads from leatherhead trying to break into the movies stumble upon the opportunity of a lifetime. frustrated by their arty film teacher, wannabe producer joe and his talented but neurotic director friend baggy head to london to sell what they know is a script made of gold.",0
5192,Peaceful Warrior,a chance encounter with a stranger changes the life of a college gymnast.,5
5193,Open Season 2,"after falling head over hooves in love with giselle, elliot's road to the altar takes a slight detour when mr. weenie is kidnapped by a group of pampered pets determined to return him to his owners.",8
5194,Piglet's Big Movie,"when the gang from the hundred acre wood begin a honey harvest, young piglet is excluded and told that he is too small to help. feeling inferior, piglet disappears and his pals eeyore, rabbit, tigger, roo and winnie the pooh must use piglet's scrapbook as a map to find him. in the process they discover that this very small animal has been a big hero in a lot of ways.",7
5195,August,"two brothers, ambitious dot-com entrepreneurs, attempt to keep their company afloat as the stock market begins to collapse in august 2001, one month prior to the 9/11 attacks.",3
5196,Dead Solid Perfect,a second-string pro golfer desperate for his shot at success tours the country.,3
5197,Angels with Dirty Faces,"in new york, the boys rocky sullivan and jerry connelly are best friends and small time thieves. after a robbery, rocky is arrested and sent to a reformatory school, where he begins his criminal career. jerry escapes and later becomes a priest. after three years in prison, rocky is released and demands the return of $100,000 deposited with his solicitor - prior to his jail term.",4
5198,Grand Canyon,grand canyon revolved around six residents from different backgrounds whose lives intertwine in modern-day los angeles. at the center of the film is the unlikely friendship of two men from different races and classes brought together when one finds himself in jeopardy in the other's rough neighborhood.,0
5199,Gung Ho,"when a western pennsylvania auto plant is acquired by a japanese company, brokering auto worker hunt stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. at one end is the japanese plant manager and the sycophant who is angling for his position. at the other, a number of disgruntled long-time union members struggle with the new exigencies of japanese quality control.",3
5200,The Happy Elf,"the happy elf is a 3d-animated family holiday special & centres on the lovable character eubie the elf, whose quest is to bring christmas joy to an entire town of naughty children in a gloomy little town called bluesville. based on grammy-winner harry connick, jr.’s original song, the happy elf.",7
5201,Home on the Range,"when a greedy outlaw schemes to take possession of the ""patch of heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. the stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",3
5202,Immortal Beloved,"a chronicle of the life of infamous classical composer ludwig van beethoven and his painful struggle with hearing loss. following beethoven's death in 1827, his assistant, schindler, searches for an elusive woman referred to in the composer's love letters as ""immortal beloved."" as schindler solves the mystery, a series of flashbacks reveal beethoven's transformation from passionate young man to troubled musical genius.",5
5203,A Dirty Shame,"sylvia stickles runs a convenience store with her husband and mother-in-law. one day, sylvia is hit on the head and transforms from an uptight prude to a sex-crazed lunatic. as she goes on a rampage through town, sylvia attracts the attention of ray ray, a sexual healer and tow truck driver in search of the world's greatest orgasm. their sexual revolution, however, causes a class war in their tiny baltimore community.",7
5204,Less than Zero,"a college freshman returns to los angeles for christmas at his ex-girlfriend's request, but discovers that his former best friend has an out-of-control drug habit.",11
5205,License to Drive,"teenager les anderson thinks his life can't get any worse after he flunks his driver's exam, but he's wrong. even though he didn't receive his license, les refuses to break his date with the cool mercedes lane, and he decides to lift his family's prize luxury car for the occasion. unfortunately, mercedes sneaks some booze along and passes out drunk, and a confused les makes the bad decision of enlisting his rebellious friend, dean, to help.",5
5206,The Christmas Star,"horace mcnickle (edward asner) is a two-time felon serving prison time for counterfeiting. on the week before christmas, he escapes from prison dressed as santa claus due to his uncanny resemblence to st. nick resulting from his long white beard and heavyset features. mcnickle hides out from the police in a nearby suburban neighborhood where he is befriended and helped by two local children who think he is the real santa claus. mcnickle takes advantage of the kids naive ness to help him get his counterfeit money hidden somewhere in a local department store while he develops kind-hearted feelings for his two con victims that make him slowly understand the true nature of christmas.",11
5207,Winnie the Pooh: A Very Merry Pooh Year,it's christmastime in the hundred acre wood and all of the gang is getting ready with presents and decorations. the gang makes a list of what they want for christmas and send it to santa claus - except that pooh forgot to ask for something. so he heads out to retrieve the letter and get it to santa by christmas...which happens to be tomorrow!,11
5208,The Vagabond,"charlie chaplin’s little tramp tries to earn money by playing the violin, but he’s soon facing off against the jealous competition.",3
5209,L'amour aux trousses,"franck and paul are working as team buddies in their paris police unit. they are sent on a mission in toulon to solve a drug traffic mystery, but things get out of hand when paul learns that franck has an affair with valeria, his wife, who also happens to work in the police forces...",2
5210,At Close Range,"based upon the true story of bruce johnston sr., his son, and his brothers; together, they constituted one of suburban philadelphia's most notorious crime families during the 1970s. their criminal activities ranged from burglary, theft... and ultimately, murder.",2
5211,Dead Man's Cards,"ex boxer tom is on the ropes, when a chance encounter at the gym leads to the offer of work as a doorman at a run down nightclub. the volatile head doorman paul, is a battle hardened veteran from the old school. recognising tom for the fighter that he once was, paul takes him under his wing, and guides him through the ins and outs of life as a club land ""peacekeeper.""",5
5212,Half Past Dead 2,"long time inmate twitch (kurupt) gets himself transfered to a tougher prison than the re-opened alcatraz. he claims it's to be closer to his lady but his real motives are a bit more grandiose. there he crosses paths with burke (bill goldberg) a bulky prisoner who can take care of himself. twitch, despite being less muscular, is just as mouthy and is pretty much the same. but there is a gang war brewing between the black and hispanic inmates that explodes into a hostile takeover of the prison when the black's gang leader is shot dead and the finger points at burke. but the sh!t really hits the fan when the real killer and leader of the hispanics, cortez (robert madrid) takes twitch's girlfriend and burke's daughter hostage.",2
5213,Mercenary for Justice,"mercenary john seeger is one of the best in the business. john and his crew battle some soldiers on galmoral island in southern africa as they're trying to rescue the french ambassador -- there's a coup going on. some of john's soldiers unload their machine guns into the ambassador and his family, blowing the mission and getting his best friend radio jones killed. he heads back to the us and visits radio's wife shondra to tells her the news, and then promises that he'll take care of her and her son eddie. but shortly after he makes that vow, shondra and eddie get kidnapped.",8
5214,Missionary Man,a mysterious stranger rolls into town on a unique motorcycle. all he carries is the bible and a desire for justice. past vengeance collides as ryder rights an injustice from his past and liberates the small town from a malicious oppressor.,7
5215,Modern Love,"marianne gets off to a bad start with gallery director and brad pitt look alike vincent but everything works out ""just like in the movies"" in the end.",3
5216,Thirty-Five Something,"three women in their late thirties, one with marital problems, one trying to be perfect, and a spinster, discuss their relationship to men.",3
5217,Akeelah and the Bee,"akeelah is a precocious 11-year-old girl from south los angeles with a gift for words. despite her mother's objections, akeelah enters various spelling contests, for which she is tutored by the forthright dr. larabee, her principal mr. welch, and the proud residents of her neighborhood. akeelah's aptitude earns her an opportunity to compete for a spot in the scripps national spelling bee.",1
5218,A Town Without Christmas,"in the small town of seacliff, wash., a child's letter to santa claus captures the nation's attention. when the little boy, chris, writes that he wishes to leave this world so he will no longer be a burden to his divorcing parents, a race begins to find him before he harms himself.",7
5219,Melody Time,"in the grand tradition of disney's great musical classics, melody time features seven timeless stories, each enhanced with high-spirited music and unforgettable characters. disney favorite donald duck puts on a display of jazzy antics as the star of ""blame it on the samba."" music becomes a real adventure for a busy bumble bee in ""bumble boogie."" cheer on the mischievous young tugboat in ""little toot"" and root for the heroes of legend and myth in ""johnny appleseed"" and ""pecos bill."" you'll tap your toes and clap your hands in this witty feast for the eyes and ears.",0
5220,The Nutcracker Prince,"after young clara receives a wooden nutcracker as a christmas gift, she dreams about a fantastical battle between her nutcracker prince and the evil mouse king. at stake is the nutcracker's freedom - and clara's future happiness.",3
5221,The Nutcracker,"the nutcracker is mikhail baryshnikov's breathtaking and critcally acclaimed emmy nominated production. the thisspectacular performance is danced by the magnificent team of baryshnikov, one of the greatest classical dancers of the century, and gelsey kirkland, both chowcased at the peak of the their careers, with members of the american ballet theatre.",0
5222,Pocahontas II: Journey to a New World,"when news of john smith's death reaches america, pocahontas is devastated. she sets off to london with john rolfe, to meet with the king of england on a diplomatic mission: to create peace and respect between the two great lands. however, governor ratcliffe is still around; he wants to return to jamestown and take over. he will stop at nothing to discredit the young princess.",9
5223,The Private Eyes,"the lord and lady of a capacious manor are killed, and the lord's ghost seems to have returned to knock off the staff one by one, causing inspector winship and dr. tart to investigate the wacky house and its inhabitants.",2
5224,Purple Rain,"a victim of his own anger, the kid is a minneapolis musician on the rise with his band, the revolution, escaping a tumultuous home life through music. while trying to avoid making the same mistakes as his truculent father, the kid navigates the club scene and a rocky relationship with a captivating singer, apollonia. but another musician, morris, looks to steal the kid's spotlight -- and his girl.",5
5225,Santa Claus: The Movie,"the first half of this film, set hundreds of years ago, shows how the old man who eventually became santa claus was given immortality and chosen to deliver toys to all the children of the world. the second half moves into the modern era, in which patch, the head elf, strikes out on his own and falls in with an evil toy manufacturer who wants to corner the market and eliminate santa claus.",11
5226,Scrooge,the classic charles dickens' christmas ghost tale told in musical form.,11
5227,SpaceCamp,"andie bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her nasa-employed husband, zach. one night during an engine test, andie and four teenage campers are accidentally shot into space. together, the group -- which includes kathryn, a pilot-in-training, and tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",3
5228,The Santa Clause 3: The Escape Clause,"now that santa and mrs. claus have the north pole running smoothly, the counsel of legendary figures has called an emergency meeting on christmas eve! the evil jack frost has been making trouble, looking to take over the holiday! so he launches a plan to sabotage the toy factory and compel scott to invoke the little-known escape clause and wish he'd never become santa.",11
5229,Tuck Everlasting,"teenager winnie foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but winnie longs for a life of greater freedom and adventure.",7
5230,Backroads,"two strangers - one white, one black - steal a car in western nsw and head for the coast. jack is abrasive, cunning and disparaging about aborigines. gary doesn’t really care – he just wants to escape. en route, they pick up gary’s uncle joe, a french hitchhiker and a young woman who’s running away. their petty crimes escalate as they go, heading towards disaster.",9
5231,Venus,"maurice is an aging veteran actor who becomes absolutely taken with jessie - the grandniece of his closest friend. when maurice tries to soften the petulant and provincial young girl with the benefit of his wisdom and london culture, their give-and-take surprises both maurice and jessie as they discover what they don't know about themselves.",9
5232,Pyramid,"of the seven wonders of the ancient world, the pyramid is the only one to survive. many believe that even with our 21st-century technology, we could not build anything like it today. based on the most up-to-date research and the latest archaeological discoveries, here is how the pyramid came to be.",3
5233,Macbeth,"macbeth, loyal to his crime boss, duncan, is told by witches that he will one day take over. driven by their prophecy, he and his wife plot to kill duncan, and takes the leadership of the gang for himself. maintaining his power will require more murder and violence, finally driving his surviving enemies to unite and destroy him. a sexy, high octane retelling of this classic story.",2
5234,Diner,"set in 1959, diner shows how five young men resist their adulthood and seek refuge in their beloved diner. the mundane, childish, and titillating details of their lives are shared. but the golden moments pass, and the men shoulder their responsibilities, leaving the diner behind.",9
5235,He Died with a Felafel in His Hand,"a search for love, meaning and bathroom solitude. danny goes through a series of shared housing experiences in a succession of cities on the east coast of australia. together these vignettes form a narrative that is surprisingly reflective.",8
5236,Dickie Roberts: Former Child Star,"tv child star of the '70s, dickie roberts is now 35 and parking cars. craving to regain the spotlight, he auditions for a role of a normal guy, but the director quickly sees he is anything but normal. desperate to win the part, dickie hires a family to help him replay his childhood and assume the identity of an average, everyday kid.",11
5237,Mercy,"after she is killed in a wave of small town hysteria, mercy hawkins is resurrected by a mysterious healer who gives her the power to seek justice against her attackers.",7
5238,Breaker Morant,"during the boer war, three australian lieutenants are on trial for shooting boer prisoners. though they acted under orders, they are being used as scapegoats by the general staff, who hopes to distance themselves from the irregular practices of the war. the trial does not progress as smoothly as expected by the general staff, as the defence puts up a strong fight in the courtroom.",12
5239,Black Friday,"when his friend professor kingsely (ridges) is at deaths door, brain surgeon dr. sovac (karloff) saves his life by means of an illegal operation that transplants part of injured gangster red cannon's brain. unfortunately, the operation has a disasterous jeckll and hyde side effect and under certain conditions the persona of cannon emerges. sovac soon learns of the duel personality and of half a million dollars the gangster has hidden away. he attempts to find the money through the manipulation of his friend, an attempt that brings kingsley closer to madness as he alternates between a meek professor of english and a brutal gangster out for murderous revenge on those who tried to kill him.",3
5240,Best in Show,"the tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across america prepare to take part in what is undoubtedly one of the greatest events of their lives -- the mayflower dog show. the canine contestants and their owners are as wondrously diverse as the great country that has bred them.",3
5241,WEC 36: Faber vs. Brown,"wec 36: faber vs. brown took place on november 5, 2008 at the seminole hard rock hotel and casino in hollywood, florida. the event aired live on the versus network. paulo filho fought again against chael sonnen in the main event of the evening. wec featherweight champion urijah faber also put his belt on the line against mike brown.",3
5242,Holy Smoke,"while on a journey of discovery in exotic india, beautiful young ruth barron falls under the influence of a charismatic religious guru. her desperate parents then hire pj waters, a macho cult de-programmer who confronts ruth in a remote desert hideaway. but pj quickly learns that he's met his match in the sexy, intelligent and iron-willed ruth.",9
5243,The Unborn,a young woman fights the spirit that is slowly taking possession of her.,9
5244,Peaches,"this is the story of teenage girl steph, who is brought up by her fiery aunt jude after her pregnant mother jass and vietnamese father are killed in a car crash. the arrival of her late mother's diary reveals the colorful, sexy secrets of jude and the foreman alan that allow steph to reinvent her vision of the world.",3
5245,Big Rig,"big rig (2008) is a documentary film by doug pray about long-haul truck drivers. the film consists of a series of interviews with different drivers, focusing on both their personal life stories and also the life and culture of truck drivers in the united states.",0
5246,How to Kill Your Neighbor's Dog,"the story of peter mcgowan, a chain-smoking, impotent, insomniac playwright who lives in los angeles. once very successful, he is now in the tenth year of a decade-long string of production failures. he finds himself bonding with a new neighbor's lonely young daughter who has mild cerebral palsy; and during one of his middle-of-the-night strolls, he encounters his oddball doppelgänger.",9
5247,Last Train to Freo,"two thugs from the perth suburb of midland catch the last train to fremantle. when a young woman boards the train a few stops later, they begin talking and find out not everyone on the train is not who they seem to be.",9
5248,Flashbacks of a Fool,"an aging hollywood star, joe scott, lives a life of narcissistic hedonism, observed by his laconic personal assistant, ophelia. the death of his childhood best friend, boots, takes our protagonist, and the movie, into an extended flashback to a sea-side town in 1970's britain.",7
5249,Africa: The Serengeti,"africa the serengeti takes you on an extraordinary journey to view a spectacle few humans have ever witnessed: the great migration. journey with more than two million wildebeests, zebras and antelopes as in their annual 500 mile trek across the serengeti plains.",3
5250,Alaska: Spirit of the Wild,"alaska... here, in this vast and spectacularly beautiful land teeming with abundant wildlife, discover the ""spirit of the wild."" experience it in the explosive calving of glaciers, the celestial fires of the aurora borealis. witness it in the thundering stampede of caribou, the beauty of the polar bear and the stealthful, deadly hunt of the wolf pack.",3
5251,Amazon,"explore the mysterious amazon through the amazing imax experience. amazon celebrates the beauty, vitality and wonder of the rapidly disappearing rain forest.",3
5252,Feast II: Sloppy Seconds,the monsters have made it into a small neighboring town in the middle of nowhere and the locals have to band with the survivors of the bar' slaughter to figure out how to survive.,7
5253,Cosmic Voyage,"the academy award® nominee cosmic voyage combines live action with state-of-the-art computer-generated imagery to pinpoint where humans fit in our ever-expanding universe. highlighting this journey is a ""cosmic zoom"" based on the powers of 10, extending from the earth to the largest observable structures in the universe, and then back to the subnuclear realm.",3
5254,Colour Me Kubrick,"the true story of a man who posed as director stanley kubrick during the production of kubrick's last film, eyes wide shut, despite knowing very little about his work and looking nothing like him.",13
5255,Amusement,"while being interrogated by a police psychiatrist, the near-catatonic tabitha tries to explain why she and two of her childhood friends are being hunted by a serial killer. the truth that's dying to come out weaves together three tragic secrets from their past. two of the girls' boyfriends become unwitting targets in their deadly game.",2
5256,Fast & Furious,"when a crime brings them back to l.a., fugitive ex-con dom toretto reignites his feud with agent brian o'conner. but as they are forced to confront a shared enemy, dom and brian must give in to an uncertain new trust if they hope to outmaneuver him. and the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.",2
5257,Disaster Movie,"the filmmaking team behind the hits ""scary movie,"" ""date movie,"" ""epic movie"" and ""meet the spartans"" this time puts its unique, inimitable stamp on one of the biggest and most bloated movie genres of all time -- the disaster film.",0
5258,Strictly Sexual,"two successful women, sick and tired of dating and relationships, decide to keep two young men in their pool house for strictly sexual purposes.",9
5259,RockNRolla,"when a russian mobster sets up a real estate scam that generates millions of pounds, various members of london's criminal underworld pursue their share of the fortune. various shady characters, including mr one-two, stella the accountant, and johnny quid, a druggie rock-star, try to claim their slice.",3
5260,Knowing,a teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,6
5261,Quarantine,a television reporter and her cameraman are trapped inside a building quarantined by the cdc after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,3
